region	tags	indicator	"Дистанционные образовательные технологии > в том числе (из графы 17) 
Липецкая область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	693	6	0	0	0	2	314	2	3	5321	76	0	0	0	4
Липецкая область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	3292	38	0	0	0	75	720	69	9	21620	236	0	4087	38	33
Липецкая область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Липецкая область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	749	8	0	0	0	8	688	8	7	956	17	0	730	7	0
Магаданская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	339	8	0	0	0	5	281	5	6	913	18	0	476	13	4
Магаданская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	1062	22	0	0	0	8	348	8	8	3072	50	0	690	20	4
Московская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	10825	196	0	0	0	197	4936	141	99	18584	340	0	14831	277	93
Московская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	45702	529	0	0	0	463	20148	308	303	93402	1037	0	60525	716	213
Московская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	21	248	4	0	0	0	1	21	1	1	511	8	0	0	0	0
Московская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	4	5661	67	0	0	0	27	1129	25	17	16602	224	0	4420	41	8
Мурманская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1025	21	0	0	0	15	460	15	11	2837	72	0	1056	22	10
Мурманская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	5969	56	0	0	0	111	2005	111	17	14498	193	0	4433	42	36
Мурманская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Мурманская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	993	16	0	146	5	0
Ненецкий автономный округ	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	29	1	0	0	0	1	24	1	1	233	7	0	29	1	0
Ненецкий автономный округ	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	334	10	0	0	0	8	115	8	4	836	21	0	334	10	0
Нижегородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	758	8949	199	0	0	0	34	862	33	28	11273	268	615	6002	129	11
Нижегородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	712	34288	507	0	0	0	251	2607	245	62	60277	778	336	22569	294	34
Нижегородская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Нижегородская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	4326	15	0	0	0	0	0	0	0	6544	36	0	4206	13	0
Новгородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	1	2594	62	0	90	0	72	1745	54	39	3172	75	0	2064	47	9
Новгородская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	7	11798	198	0	0	0	184	6708	145	119	12567	207	4	7306	120	35
Новгородская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Новгородская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	117	1	0	0	0	0
Новосибирская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	1	4948	78	0	0	0	43	885	43	9	9962	156	311	4159	60	33
Новосибирская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	44	22624	210	0	0	0	22	947	20	10	53605	441	561	20046	193	63
Новосибирская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Новосибирская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	175	6176	51	0	0	0	1	58	1	1	9920	64	175	175	7	7
Омская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	3775	68	0	0	0	32	1250	30	23	9748	184	0	8169	153	11
Омская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	19483	224	0	0	0	73	5200	77	60	41789	469	0	26705	318	15
Омская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	19	2	0	0	0	1	19	1	2	28	3	0	19	2	0
Омская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	241	3618	58	0	0	0	1	41	1	3	7707	91	241	1895	46	0
Оренбургская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	3499	49	0	0	0	105	3021	100	73	6825	124	0	2478	29	34
Оренбургская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	4	21098	253	4	250	4	328	13990	295	237	46848	513	0	17937	188	87
Оренбургская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Оренбургская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	426	1	0	0	0	1	515	1	5	1555	20	0	515	5	0
Орловская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	558	8	0	0	0	44	408	21	9	2505	52	0	0	0	0
Орловская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	2863	34	0	0	0	30	783	20	16	14613	193	0	1963	32	12
Орловская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Орловская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	82	2	0	0	0	0
Пензенская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	110	1	0	0	0	13	355	13	10	5575	75	0	155	4	8
Пензенская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	2961	34	4	40	3	32	929	32	17	25124	273	0	2936	33	31
Пензенская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Пензенская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	630	4	0	0	0	0	0	0	0	1169	7	0	1169	7	3
Пермский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	6	7447	146	0	0	0	13	1710	30	40	13222	260	0	5404	118	26
Пермский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	3	26495	415	0	0	0	24	4458	42	125	58311	776	0	28175	404	105
Пермский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	35	35	2	0	0	0	0	0	0	0	156	4	35	35	2	0
Пермский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	18942	22364	33	0	0	0	57	521	23	25	24646	103	5403	8825	26	10
Приморский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	3542	69	0	0	0	491	1952	132	34	7043	124	0	1909	40	5
Приморский край	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	56	12596	207	0	0	0	229	2011	170	53	40630	589	56	7461	138	21
Приморский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Приморский край	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	12	45	5	0	0	0	0	0	0	0	2178	50	12	23	3	2
Псковская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	800	13	0	0	0	0	0	0	0	2464	43	0	629	9	4
Псковская область	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	6104	105	0	0	0	10	385	8	9	10295	159	0	4974	85	43
Псковская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Псковская область	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	66	4	0	0	0	2	169	2	1	1105	14	0	1105	14	0
Республика Адыгея	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	33	1	0	0	0	0	0	0	0	1571	26	0	33	1	0
Республика Адыгея	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	2479	62	0	0	0	0	0	0	0	8529	115	0	5404	81	1
Республика Алтай	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	900	20	0	0	0	7	547	7	7	1385	29	0	909	27	0
Республика Алтай	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	2571	53	0	0	0	17	1178	19	20	4802	78	0	2457	51	8
Республика Алтай	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Алтай	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	407	3	0	0	0	0
Республика Башкортостан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	2	7452	124	0	0	773	778	1469	11	11	25334	436	0	9692	140	81
Республика Башкортостан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	27	48005	458	0	0	356	402	5466	50	47	82382	773	0	43263	391	124
Республика Башкортостан	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Башкортостан	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	3135	36	0	0	0	4	2116	3	32	5757	92	0	3871	55	10
Республика Бурятия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1111	31	0	0	0	15	349	15	12	5692	113	0	1500	31	20
Республика Бурятия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	6985	79	0	0	0	31	1331	31	24	23079	298	0	5852	83	30
Республика Бурятия	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Бурятия	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	1391	14	0	0	0	7
Республика Дагестан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	162	2	0	0	0	4	219	4	5	6099	92	0	678	11	52
Республика Дагестан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	8264	36	0	0	0	20	1113	20	9	49676	306	0	8870	51	111
Республика Дагестан	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	13	13	1	0	0	0	0	0	0	0	508	10	13	303	5	2
Республика Дагестан	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	12	3752	50	0	0	0	9	3682	9	30	27591	285	12	3321	71	36
Республика Ингушетия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	1307	25	0	0	0	9
Республика Ингушетия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	886	5	0	0	0	0	0	0	0	9292	78	0	0	0	23
Республика Ингушетия	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	240	1	0	0	0	1
Республика Ингушетия	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	26	417	26	14	3957	187	0	0	0	21
Республика Калмыкия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	55	2	0	0	0	0	0	0	0	849	28	0	204	6	12
Республика Калмыкия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	84	2	0	0	0	42	422	42	3	7080	93	0	1073	16	28
Республика Калмыкия	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Калмыкия	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	154	2	0	0	0	0
Республика Карелия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	2250	51	0	0	0	28	1074	19	28	2582	61	0	1536	34	2
Республика Карелия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	1034	8914	123	0	0	0	134	4421	117	79	11392	162	0	7333	105	24
Республика Карелия	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Карелия	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	1399	11	0	0	0	0	0	0	0	1685	11	0	0	0	0
Республика Коми	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1162	25	0	0	0	29	891	30	24	4855	92	0	978	25	12
Республика Коми	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	6647	94	0	0	0	82	2947	82	45	14828	204	0	5416	82	32
Республика Коми	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	20	1	0	20	1	0
Республика Коми	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	410	5	0	0	0	0	0	0	0	841	12	0	466	7	0
Республика Крым	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	829	4	0	0	0	17	912	17	12	10599	175	0	0	0	3
Республика Крым	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	4090	24	0	0	0	31	1746	31	22	26696	269	0	3110	31	12
Республика Крым	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Крым	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	305	1	0	0	0	0	0	0	0	6699	26	0	0	0	21
Республика Марий Эл	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	99	6	0	0	0	11	372	10	9	1851	51	0	432	10	2
Республика Марий Эл	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	198	6283	80	0	0	0	69	2280	69	23	14198	188	0	7806	84	38
Республика Марий Эл	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Марий Эл	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	1940	8	0	0	0	3
Республика Мордовия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1018	27	0	0	0	26	507	27	14	1627	39	0	816	25	11
Республика Мордовия	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	9188	123	0	0	0	55	2260	54	41	14443	184	0	7625	100	37
Республика Мордовия	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Республика Мордовия	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	0	0	0	0	0	0	0	0	0	1239	12	0	0	0	0
Республика Саха (Якутия)	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	1699	50	0	0	0	7	209	7	9	5185	174	0	1959	58	41
Республика Саха (Якутия)	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	7719	113	0	0	0	119	3263	119	25	21122	356	0	7107	112	115
Республика Саха (Якутия)	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	2	63	2	1	63	1	0	0	0	0
Республика Саха (Якутия)	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	1102	7	0	0	0	2	96	2	2	2797	16	0	1102	7	7
Республика Северная Осетия - Алания	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	980	10	0	0	0	42	707	36	10	3409	69	0	42	4	16
Республика Северная Осетия - Алания	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	0	2103	36	0	0	0	36	335	21	15	13055	157	1	631	6	51
Республика Северная Осетия - Алания	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	60	2	0	0	0	2	36	2	1	122	4	0	36	1	1
Республика Северная Осетия - Алания	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	2044	33	0	0	0	2	1492	2	10	2789	46	0	1492	20	0
Республика Татарстан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	107	4	0	0	0	25	1589	25	25	10746	178	0	699	14	14
Республика Татарстан	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки специалистов среднего звена / 1.0	178	4726	44	0	0	0	141	13147	109	133	70698	770	0	13562	166	74
Республика Татарстан	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	0	0	0	0	0	0	0	0	0	23	2	0	0	0	0
Республика Татарстан	Частные; Сведения об организации, реализуемых программах и персонале	Образовательные программы подготовки специалистов среднего звена / 1.0	0	1338	40	0	0	0	5	301	5	4	14117	188	0	5059	88	32
Республика Тыва	Сведения об организации, реализуемых программах и персонале; Государственные, муниципальные (без учета организаций в ведении ФСИН)	Образовательные программы подготовки квалифицированных рабочих, служащих / 2.0	0	286	9	0	0	0	0	0	0	0	2538	74	0	56	2	5
