region	tags	indicator	Число реализуемых образователь-ных программ - всего, ед / 3	Из них / прошли профессио-нально- общественную аккредитацию работодателями и их объедине-ниями / 4	Из них / содержат отдельные дисциплины (модули) в формате онлайн-курсов / 5	Из них / в том числе / онлайн-курсы сторонних организаций, осуществляющих образовательную деятельность / 6	Из них / в том числе / онлайн-курсы в объеме не менее 10% от общей трудоемкости образователь-ной программы / 7	Из них / реализуются полностью в онлайн-формате / 8	Число дисциплин, преподаваемых в рамках образова-тельных программ, реализуемых полностью в онлайн-формате / 9	Численность обучающихся – всего, чел / 10	Сетевая форма реализации образовательных программ / число программ (из графы 3), реализуемых с использованием сетевой формы / 11	Сетевая форма реализации образовательных программ / численность обучающихся (из графы 10) по программам, реализуемым с использованием сетевой формы -всего / 12	Сетевая форма реализации образовательных программ / в том числе (из графы 12) по программам, реализуемым с использованием ресурсов других научных и (или) образовательных организаций / 13	Сетевая форма реализации образовательных программ / в том числе (из графы 13) по очной форме обучения / 14	Сетевая форма реализации образовательных программ / в том числе (из графы 12) с использованием ресурсов иностранных организаций / 15	Сетевая форма реализации образовательных программ / общее число заключенных договоров с организациями на реализацию образовательных программ с использованием сетевой формы, ед / 16	Сетевая форма реализации образовательных программ / из них число заключенных договоров (из графы 16) с использованием ресурсов иностранных организаций / 17	Сетевая форма реализации образовательных программ / число организаций, с которыми заключены договоры на реализацию образовательных программ с использованием сетевой формы, ед / 18	Сетевая форма реализации образовательных программ / в том числе (из графы 18) число иностранных организаций / 19	Электронное обучение / число программ (из графы 3), реализуемых с применением электронного обучения / 20	Электронное обучение / численность обучающихся (из графы 10) с применением электронного обучения / 21	Электронное обучение / в том числе (из графы 21) с применением исключительно электронного обучения / 22	Дистанционные образовательные технологии / число программ (из графы 3), реализуемых с применением дистанционных образовательных технологий / 23	Дистанционные образовательные технологии / численность обучающихся (из графы 10) с применением дистанционных образовательных технологий / 24	Дистанционные образовательные технологии / в том числе (из графы 24) с применением исключительно дистанционных образовательных технологий / 25
Алтайский край	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	599.0	37.0	230.0	4.0	100.0	0.0	6.0	34709.0	16.0	598.0	508.0	490.0	2.0	17.0	10.0	13.0	7.0	110.0	12161.0	0.0	348.0	26271.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	239.0	13.0	139.0	6.0	1.0	0.0	0.0	6704.0	35.0	488.0	387.0	386.0	82.0	56.0	35.0	27.0	13.0	43.0	1566.0	0.0	191.0	5829.0	0.0
Алтайский край	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	61.0	3.0	25.0	0.0	11.0	0.0	0.0	9851.0	2.0	160.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	34.0	7093.0	0.0	56.0	9151.0	0.0
Алтайский край	персонал; Частные	Образовательные программы бакалавриата / 01	26.0	0.0	0.0	0.0	0.0	0.0	0.0	651.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Алтайский край	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Амурская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	125.0	10.0	46.0	21.0	0.0	3.0	114.0	9547.0	1.0	80.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	125.0	9544.0	0.0	63.0	5509.0	265.0
Амурская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	58.0	2.0	12.0	4.0	0.0	4.0	75.0	1636.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	1630.0	0.0	33.0	802.0	149.0
Амурская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	31.0	2.0	7.0	7.0	0.0	0.0	11.0	3549.0	1.0	76.0	1.0	1.0	0.0	2.0	0.0	2.0	0.0	31.0	3549.0	0.0	29.0	3208.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	170.0	4.0	142.0	78.0	78.0	0.0	161.0	10320.0	83.0	4476.0	4023.0	3303.0	105.0	39.0	1.0	17.0	1.0	148.0	8367.0	0.0	161.0	9616.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	67.0	1.0	35.0	0.0	0.0	0.0	5.0	2022.0	5.0	88.0	61.0	61.0	32.0	5.0	2.0	5.0	2.0	59.0	1749.0	0.0	43.0	1479.0	0.0
Архангельская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	25.0	0.0	19.0	7.0	7.0	0.0	122.0	4564.0	7.0	201.0	201.0	196.0	0.0	18.0	0.0	8.0	0.0	22.0	4361.0	0.0	22.0	997.0	0.0
Архангельская область	персонал; Частные	Образовательные программы бакалавриата / 01	12.0	0.0	0.0	0.0	0.0	0.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	284.0	0.0	10.0	284.0	0.0
Архангельская область	персонал; Частные	Образовательные программы магистратуры / 03	2.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	50.0	0.0	2.0	50.0	0.0
Архангельская область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	136.0	1.0	25.0	7.0	0.0	0.0	8.0	15627.0	7.0	115.0	115.0	115.0	0.0	2.0	0.0	2.0	0.0	60.0	9159.0	0.0	61.0	6835.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	92.0	1.0	2.0	2.0	0.0	0.0	0.0	2848.0	2.0	19.0	19.0	19.0	0.0	1.0	0.0	1.0	0.0	37.0	1523.0	0.0	31.0	1127.0	0.0
Астраханская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	32.0	0.0	0.0	0.0	0.0	0.0	0.0	8825.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1785.0	0.0	9.0	1680.0	0.0
Астраханская область	персонал; Частные	Образовательные программы бакалавриата / 01	7.0	0.0	0.0	0.0	0.0	0.0	0.0	702.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	302.0	0.0
Астраханская область	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Астраханская область	персонал; Частные	Образовательные программы специалитета / 02	1.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	131.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	232.0	66.0	173.0	34.0	44.0	0.0	0.0	28146.0	42.0	3967.0	1587.0	1587.0	605.0	28.0	9.0	24.0	8.0	188.0	18635.0	0.0	182.0	15899.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	185.0	45.0	127.0	1.0	0.0	0.0	0.0	5626.0	25.0	136.0	108.0	108.0	17.0	23.0	14.0	14.0	8.0	160.0	4450.0	0.0	163.0	3344.0	0.0
Белгородская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	56.0	13.0	26.0	0.0	2.0	0.0	0.0	10912.0	5.0	390.0	10.0	10.0	0.0	4.0	0.0	2.0	0.0	42.0	8593.0	0.0	42.0	6842.0	0.0
Белгородская область	персонал; Частные	Образовательные программы бакалавриата / 01	58.0	1.0	44.0	44.0	0.0	0.0	0.0	2561.0	4.0	0.0	0.0	0.0	0.0	4.0	4.0	2.0	2.0	44.0	2029.0	0.0	44.0	2029.0	0.0
Белгородская область	персонал; Частные	Образовательные программы магистратуры / 03	28.0	2.0	27.0	3.0	0.0	0.0	0.0	405.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	398.0	0.0	27.0	398.0	0.0
Белгородская область	персонал; Частные	Образовательные программы специалитета / 02	8.0	0.0	8.0	0.0	0.0	0.0	0.0	419.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	419.0	0.0	8.0	419.0	0.0
Брянская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	218.0	15.0	6.0	0.0	0.0	0.0	0.0	15938.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	5825.0	0.0	99.0	5825.0	0.0
Брянская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	104.0	4.0	0.0	0.0	0.0	0.0	0.0	3003.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	1259.0	0.0	52.0	1259.0	0.0
Брянская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	21.0	2.0	2.0	0.0	0.0	0.0	0.0	2957.0	1.0	260.0	260.0	260.0	0.0	2.0	0.0	1.0	0.0	7.0	811.0	0.0	7.0	811.0	0.0
Брянская область	персонал; Частные	Образовательные программы бакалавриата / 01	5.0	0.0	0.0	0.0	0.0	0.0	0.0	626.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Брянская область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	172.0	5.0	31.0	2.0	0.0	0.0	0.0	18291.0	4.0	104.0	104.0	104.0	104.0	4.0	4.0	3.0	3.0	110.0	16880.0	0.0	117.0	17199.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	64.0	7.0	1.0	1.0	0.0	0.0	0.0	3040.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	2978.0	0.0	64.0	3040.0	0.0
Владимирская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	13.0	0.0	8.0	0.0	0.0	0.0	0.0	2309.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	2293.0	0.0	13.0	2309.0	0.0
Владимирская область	персонал; Частные	Образовательные программы бакалавриата / 01	20.0	2.0	0.0	0.0	0.0	0.0	0.0	456.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Владимирская область	персонал; Частные	Образовательные программы специалитета / 02	4.0	4.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Волгоградская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	367.0	23.0	51.0	0.0	3.0	0.0	3.0	36202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.0	8993.0	14.0	288.0	21486.0	0.0
Волгоградская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	244.0	9.0	3.0	0.0	3.0	0.0	1.0	5943.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	164.0	1825.0	24.0	166.0	3339.0	0.0
Волгоградская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	64.0	4.0	5.0	0.0	5.0	0.0	2.0	12463.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	8846.0	0.0	45.0	9248.0	0.0
Волгоградская область	персонал; Частные	Образовательные программы бакалавриата / 01	49.0	0.0	0.0	0.0	0.0	0.0	0.0	2576.0	5.0	100.0	5.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	176.0	0.0	23.0	1457.0	0.0
Волгоградская область	персонал; Частные	Образовательные программы магистратуры / 03	10.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	2.0	5.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0
Волгоградская область	персонал; Частные	Образовательные программы специалитета / 02	12.0	0.0	0.0	0.0	0.0	0.0	0.0	378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Вологодская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	216.0	17.0	105.0	102.0	3.0	0.0	4.0	15254.0	3.0	46.0	46.0	46.0	0.0	2.0	0.0	2.0	0.0	196.0	12146.0	0.0	213.0	14670.0	0.0
Вологодская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	85.0	9.0	44.0	44.0	0.0	0.0	0.0	1744.0	3.0	35.0	35.0	35.0	0.0	4.0	0.0	4.0	0.0	72.0	1171.0	0.0	82.0	1431.0	0.0
Вологодская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	17.0	1.0	7.0	7.0	0.0	0.0	0.0	1532.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	528.0	0.0	13.0	1260.0	0.0
Воронежская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	679.0	397.0	16.0	9.0	0.0	0.0	0.0	53672.0	2.0	18.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	228.0	22766.0	0.0	228.0	21100.0	214.0
Воронежская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	402.0	154.0	7.0	6.0	0.0	0.0	0.0	10999.0	2.0	62.0	46.0	46.0	0.0	3.0	0.0	2.0	0.0	160.0	4663.0	0.0	161.0	3346.0	171.0
Воронежская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	130.0	10.0	4.0	4.0	0.0	0.0	0.0	17435.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	13029.0	0.0	63.0	10889.0	65.0
Воронежская область	персонал; Частные	Образовательные программы бакалавриата / 01	45.0	2.0	0.0	0.0	0.0	0.0	0.0	4619.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	817.0	0.0	15.0	1488.0	0.0
Воронежская область	персонал; Частные	Образовательные программы магистратуры / 03	6.0	1.0	0.0	0.0	0.0	0.0	0.0	422.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Воронежская область	персонал; Частные	Образовательные программы специалитета / 02	5.0	0.0	0.0	0.0	0.0	0.0	0.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	225.0	0.0
Еврейская автономная область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	43.0	3.0	0.0	0.0	0.0	0.0	0.0	1542.0	1.0	8.0	8.0	8.0	0.0	1.0	0.0	1.0	0.0	43.0	1542.0	0.0	21.0	272.0	0.0
Еврейская автономная область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	20.0	0.0	0.0	0.0	0.0	0.0	0.0	385.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	385.0	0.0	1.0	10.0	0.0
Еврейская автономная область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	1.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0	0.0	0.0	0.0	0.0
Забайкальский край	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	101.0	8.0	1.0	1.0	0.0	0.0	0.0	10232.0	2.0	55.0	55.0	55.0	0.0	2.0	0.0	2.0	0.0	80.0	8034.0	0.0	12.0	213.0	0.0
Забайкальский край	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	59.0	2.0	1.0	1.0	0.0	0.0	0.0	1761.0	1.0	14.0	14.0	14.0	0.0	1.0	0.0	1.0	0.0	59.0	1760.0	0.0	42.0	732.0	0.0
Забайкальский край	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	25.0	11.0	0.0	0.0	0.0	0.0	0.0	7102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	4846.0	0.0	3.0	2675.0	0.0
Ивановская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	243.0	0.0	45.0	0.0	0.0	0.0	0.0	16030.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	3883.0	0.0	144.0	4830.0	131.0
Ивановская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	108.0	0.0	0.0	0.0	0.0	0.0	0.0	2515.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	375.0	0.0	44.0	436.0	171.0
Ивановская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	20.0	0.0	4.0	0.0	0.0	0.0	0.0	3990.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	3391.0	0.0	15.0	3528.0	120.0
Ивановская область	персонал; Частные	Образовательные программы бакалавриата / 01	7.0	0.0	0.0	0.0	0.0	0.0	0.0	640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	294.0	0.0
Ивановская область	персонал; Частные	Образовательные программы магистратуры / 03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ивановская область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Иркутская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	399.0	10.0	192.0	13.0	0.0	0.0	6.0	39159.0	2.0	35.0	35.0	35.0	10.0	2.0	1.0	2.0	1.0	278.0	24418.0	0.0	293.0	25897.0	182.0
Иркутская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	248.0	11.0	0.0	0.0	0.0	0.0	0.0	7306.0	6.0	66.0	66.0	49.0	29.0	6.0	2.0	3.0	1.0	158.0	4041.0	0.0	174.0	4497.0	150.0
Иркутская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	61.0	7.0	8.0	3.0	0.0	0.0	4.0	16441.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	4418.0	0.0	38.0	4659.0	259.0
Иркутская область	персонал; Частные	Образовательные программы бакалавриата / 01	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1202.0	0.0	5.0	1202.0	0.0
Иркутская область	персонал; Частные	Образовательные программы магистратуры / 03	3.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	89.0	0.0	3.0	89.0	0.0
Иркутская область	персонал; Частные	Образовательные программы специалитета / 02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Кабардино-Балкарская Республика	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	162.0	2.0	25.0	17.0	0.0	0.0	1.0	8180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	5225.0	0.0	111.0	5234.0	0.0
Кабардино-Балкарская Республика	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	89.0	2.0	11.0	11.0	3.0	0.0	0.0	2308.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	1812.0	0.0	59.0	1822.0	0.0
Кабардино-Балкарская Республика	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	27.0	0.0	0.0	0.0	0.0	0.0	0.0	5426.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	5218.0	0.0	18.0	5238.0	0.0
Калининградская область	персонал; Государственные, Муниципальные	Образовательные программы бакалавриата / 01	85.0	2.0	39.0	2.0	1.0	0.0	0.0	12054.0	6.0	154.0	1.0	0.0	0.0	6.0	0.0	10.0	0.0	67.0	10263.0	0.0	72.0	11053.0	0.0
Калининградская область	персонал; Государственные, Муниципальные	Образовательные программы магистратуры / 03	53.0	10.0	3.0	0.0	0.0	0.0	0.0	2038.0	8.0	236.0	99.0	99.0	0.0	8.0	0.0	1.0	0.0	51.0	1886.0	0.0	51.0	1886.0	0.0
Калининградская область	персонал; Государственные, Муниципальные	Образовательные программы специалитета / 02	15.0	1.0	11.0	1.0	0.0	0.0	0.0	4297.0	1.0	165.0	165.0	165.0	0.0	1.0	0.0	0.0	0.0	11.0	3623.0	0.0	11.0	3623.0	0.0
Калининградская область	персонал; Частные	Образовательные программы бакалавриата / 01	16.0	1.0	0.0	0.0	0.0	0.0	0.0	1528.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	260.0	0.0	6.0	302.0	0.0
Калининградская область	персонал; Частные	Образовательные программы магистратуры / 03	2.0	0.0	0.0	0.0	0.0	0.0	0.0	256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
